InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Location,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply
INT0391,Network Operations Intern,Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the telecom / retail / misc sector. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",UG,Ranchi,Offline,3 Months,"English, Hindi",5000/month,"MATLAB, Figma, AutoCAD","Rural Outreach, Skill Development",Intermediate,22-11-25
INT0392,Network Operations Intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,Network Ops,"Network Monitoring, Troubleshooting, Reports, Linux Basics",Diploma,"Sivaganga, Tamil Nadu",Offline,4 Months,"English, Tamil",5000/month,"Git, VS Code, Docker","Remote Friendly, Skill Development",Beginner,03-02-26
INT0393,Network Operations Intern,Learn important skills and build a small project while working with the team. Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the telecom / retail / misc sector.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",UG,"Wayanad, Kerala",Offline,4 Months,"English, Malayalam",0/month,"VS Code, Slack, JIRA","Women Preferred, Skill Development",Beginner,18-02-26
INT0394,E-commerce Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Learn important skills and build a small project while working with the team. You will get support from a mentor and clear daily tasks to follow.",Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",PG,"Nabarangpur, Odisha",Hybrid,6 Months,"English, Odia",10000/month,"Trello, Slack, Jupyter","Government Scheme Aligned, Remote Friendly",Intermediate,30-01-26
INT0395,Network Operations Intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,Telecom / Retail / Misc,Network Ops,"Network Monitoring, Troubleshooting, Reports, Linux Basics",UG,Lucknow,Online,5 Months,English,0/month,"Trello, VS Code, Figma","Paid Internship, Government Scheme Aligned",Beginner,15-10-25
INT0396,E-commerce Operations Intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",12th Pass,Guwahati,Online,6 Months,English,5000/month,"MATLAB, Docker, JIRA","Skill Development, Remote Friendly",Beginner,31-12-25
INT0397,E-commerce Operations Intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback.,Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",UG,"Sivaganga, Tamil Nadu",Online,6 Months,"English, Tamil",8000/month,"Git, Postman, Trello","Skill Development, Paid Internship",Intermediate,06-01-26
INT0398,Network Operations Intern,Entry-level friendly role with practical exposure and regular feedback. This Network Operations Intern at Godrej provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",UG,Bengaluru,Online,6 Months,English,3000/month,"Trello, Jupyter, Docker","Skill Development, Remote Friendly",Intermediate,25-01-26
INT0399,E-commerce Operations Intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.",Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",12th Pass,Hyderabad,Hybrid,2 Months,"English, Hindi",10000/month,"Trello, Zoom, VS Code","Paid Internship, Skill Development",Beginner,19-01-26
INT0400,E-commerce Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required.",Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",UG,"Wayanad, Kerala",Hybrid,6 Months,"English, Malayalam",5000/month,"Power BI, Git, Tableau","Paid Internship, Remote Friendly",Beginner,12-01-26
INT0401,Energy Analyst Intern,"Work as a energy analyst intern at Tata Power. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",12th Pass,Pune,Hybrid,3 Months,Hindi,4230,"Power BI, Excel","Rural Outreach, Remote Friendly",Intermediate,16-05-26
INT0402,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,UG,Pune,Offline,6 Months,Hindi,9333,Excel,"Beginner Friendly, Rural Outreach",Intermediate,02-11-25
INT0403,Intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,12th Pass,Aizawl,Offline,6 Months,Hindi,313,Excel,"Remote Friendly, Government Scheme Aligned",Beginner,30-11-25
INT0404,Intern,Work as a intern at Reliance Jio. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,Diploma,Mumbai,Offline,4 Months,Bengali,9280,Excel,"Government Scheme Aligned, Rural Outreach",Advanced,28-03-26
INT0405,Energy Analyst Intern,"Work as a energy analyst intern at ONGC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",Diploma,Delhi,Online,4 Months,Hindi,1917,"Power BI, Excel","Paid Internship, Remote Friendly",Intermediate,30-05-26
INT0406,Intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Pune,Hybrid,2 Months,English,13466,Excel,"Government Scheme Aligned, Remote Friendly",Advanced,26-04-26
INT0407,Intern,Work as a intern at IFFCO. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,Diploma,Delhi,Hybrid,3 Months,English,7021,Excel,"Remote Friendly, Paid Internship",Advanced,29-01-26
INT0408,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,UG,Shillong,Hybrid,5 Months,English,12839,Excel,"Remote Friendly, Paid Internship",Advanced,23-02-26
INT0409,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,PG,Chennai,Online,3 Months,English,9403,Excel,"Beginner Friendly, Paid Internship",Beginner,27-05-26
INT0410,Intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Bangalore,Hybrid,6 Months,English,12027,Excel,"Rural Outreach, Remote Friendly",Advanced,13-04-26
INT0411,Intern,Work as a intern at MakeMyTrip. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,MS Office,12th Pass,Aizawl,Offline,5 Months,Hindi,10386,Excel,"Remote Friendly, Paid Internship",Advanced,05-04-26
INT0412,Intern,Work as a intern at Amul. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,PG,Pune,Hybrid,2 Months,Hindi,8479,Excel,"Beginner Friendly, Government Scheme Aligned",Beginner,12-07-26
INT0413,Intern,Work as a intern at Mahindra & Mahindra. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,Diploma,Chennai,Hybrid,1 Months,Hindi,7390,Excel,"Government Scheme Aligned, Remote Friendly",Beginner,16-04-26
INT0414,Energy Analyst Intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",UG,Delhi,Hybrid,2 Months,Tamil,1763,"Power BI, Excel","Rural Outreach, Beginner Friendly",Intermediate,05-01-26
INT0415,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,PG,Delhi,Online,5 Months,Hindi,13650,Excel,"Paid Internship, Government Scheme Aligned",Intermediate,01-03-26
INT0416,Intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,Diploma,Pune,Offline,3 Months,Hindi,11642,Excel,"Beginner Friendly, Paid Internship",Advanced,15-06-26
INT0417,Intern,Work as a intern at Larsen & Toubro. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,UG,Shillong,Online,6 Months,Hindi,7620,Excel,"Beginner Friendly, Paid Internship",Intermediate,05-05-26
INT0418,Intern,"Work as a intern at Zee Media. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,PG,Chennai,Offline,5 Months,English,9332,Excel,"Paid Internship, Remote Friendly",Intermediate,18-11-25
INT0419,Intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,Diploma,Imphal,Offline,6 Months,Hindi,4982,Excel,"Beginner Friendly, Rural Outreach",Advanced,06-01-26
INT0420,Intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,12th Pass,Hyderabad,Online,2 Months,Hindi,14045,Excel,"Rural Outreach, Beginner Friendly",Advanced,29-04-26
INT0421,Intern,Work as a intern at AIIMS. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,Diploma,Mumbai,Hybrid,5 Months,Hindi,1346,Excel,"Beginner Friendly, Rural Outreach",Advanced,24-05-26
INT0422,Intern,Work as a intern at Reliance Jio. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,UG,Chennai,Hybrid,6 Months,Hindi,4586,Excel,"Government Scheme Aligned, Rural Outreach",Beginner,10-02-26
INT0423,Intern,Work as a intern at Ministry of Tourism. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,MS Office,12th Pass,Aizawl,Hybrid,2 Months,Marathi,11268,Excel,"Beginner Friendly, Paid Internship",Advanced,31-10-25
INT0424,Intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Chennai,Online,5 Months,English,8789,Excel,"Remote Friendly, Beginner Friendly",Intermediate,05-11-25
INT0425,Frontend Developer Intern,Work as a frontend developer intern at TCS. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"React, HTML, CSS, JavaScript",PG,Chennai,Online,6 Months,Tamil,10431,"VS Code, Git","Paid Internship, Government Scheme Aligned",Advanced,25-04-26
INT0426,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,Diploma,Delhi,Online,3 Months,Hindi,1849,Excel,"Paid Internship, Remote Friendly",Advanced,29-01-26
INT0427,Energy Analyst Intern,"Work as a energy analyst intern at Indian Oil. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",Diploma,Chennai,Hybrid,1 Months,Hindi,21,"Power BI, Excel","Government Scheme Aligned, Remote Friendly",Beginner,02-11-25
INT0428,Intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,12th Pass,Hyderabad,Hybrid,3 Months,English,4090,Excel,"Paid Internship, Government Scheme Aligned",Beginner,26-06-26
INT0429,Intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,UG,Bangalore,Hybrid,6 Months,Hindi,10615,Excel,"Government Scheme Aligned, Remote Friendly",Beginner,26-11-25
INT0430,Frontend Developer Intern,Work as a frontend developer intern at Infosys. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"React, HTML, CSS, JavaScript",Diploma,Raipur,Offline,2 Months,Hindi,11421,"VS Code, Git","Rural Outreach, Government Scheme Aligned",Advanced,29-05-26
INT0431,Intern,Work as a intern at AIIMS. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,UG,Mumbai,Online,5 Months,English,8313,Excel,"Government Scheme Aligned, Remote Friendly",Intermediate,26-06-26
INT0432,Intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Pune,Offline,4 Months,Hindi,9065,Excel,"Remote Friendly, Government Scheme Aligned",Advanced,13-01-26
INT0433,Intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,Diploma,Pune,Offline,5 Months,Hindi,9676,Excel,"Remote Friendly, Paid Internship",Intermediate,17-06-26
INT0434,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,UG,Chennai,Hybrid,4 Months,English,14507,Excel,"Paid Internship, Beginner Friendly",Advanced,10-06-26
INT0435,Intern,Work as a intern at Mahindra & Mahindra. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,12th Pass,Chennai,Online,3 Months,Hindi,367,Excel,"Remote Friendly, Government Scheme Aligned",Beginner,24-12-25
INT0436,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,UG,Mumbai,Online,2 Months,Hindi,6227,Excel,"Paid Internship, Beginner Friendly",Intermediate,16-03-26
INT0437,Intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,PG,Chennai,Offline,4 Months,Hindi,9785,Excel,"Remote Friendly, Rural Outreach",Beginner,10-12-25
INT0438,Energy Analyst Intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",UG,Bangalore,Hybrid,2 Months,English,13608,"Power BI, Excel","Rural Outreach, Remote Friendly",Intermediate,28-05-26
INT0439,Intern,Work as a intern at IRCTC. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,MS Office,PG,Delhi,Offline,5 Months,Hindi,13574,Excel,"Government Scheme Aligned, Paid Internship",Advanced,05-02-26
INT0440,Intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,Diploma,Pune,Online,4 Months,Hindi,6784,Excel,"Government Scheme Aligned, Rural Outreach",Beginner,19-01-26
INT0441,Energy Analyst Intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",UG,Jaisalmer,Offline,2 Months,English,5553,"Power BI, Excel","Remote Friendly, Rural Outreach",Advanced,13-04-26
INT0442,Frontend Developer Intern,Work as a frontend developer intern at Wipro. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"React, HTML, CSS, JavaScript",UG,Bangalore,Hybrid,4 Months,English,1604,"VS Code, Git","Rural Outreach, Beginner Friendly",Advanced,27-10-25
INT0443,Intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,PG,Hyderabad,Offline,1 Months,Hindi,11987,Excel,"Beginner Friendly, Government Scheme Aligned",Beginner,29-03-26
INT0444,Intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Mumbai,Offline,2 Months,English,5465,Excel,"Paid Internship, Remote Friendly",Intermediate,24-03-26
INT0445,Finance Intern,Work as a finance intern at Axis Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",Diploma,Pune,Offline,2 Months,Hindi,4715,"Excel, Tally","Beginner Friendly, Government Scheme Aligned",Beginner,11-04-26
INT0446,Intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,Diploma,Imphal,Online,1 Months,English,14875,Excel,"Rural Outreach, Remote Friendly",Intermediate,03-11-25
INT0447,Intern,Work as a intern at Fortis. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,UG,Delhi,Offline,5 Months,Hindi,15,Excel,"Paid Internship, Remote Friendly",Beginner,20-10-25
INT0448,Intern,Work as a intern at Flipkart. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,Diploma,Delhi,Offline,2 Months,Hindi,5557,Excel,"Beginner Friendly, Remote Friendly",Intermediate,26-03-26
INT0449,Intern,Work as a intern at AIIMS. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,12th Pass,Mumbai,Offline,3 Months,English,12640,Excel,"Remote Friendly, Rural Outreach",Beginner,13-11-25
INT0450,Finance Intern,Work as a finance intern at SBI. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",UG,Pune,Hybrid,6 Months,English,8466,"Excel, Tally","Paid Internship, Remote Friendly",Advanced,07-05-26
INT0451,Intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,UG,Raipur,Online,3 Months,English,3346,Excel,"Beginner Friendly, Paid Internship",Intermediate,05-01-26
INT0452,Frontend Developer Intern,Work as a frontend developer intern at Wipro. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"React, HTML, CSS, JavaScript",Diploma,Bangalore,Hybrid,2 Months,English,8295,"VS Code, Git","Rural Outreach, Paid Internship",Advanced,16-04-26
INT0453,Energy Analyst Intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",UG,Hyderabad,Online,4 Months,English,10796,"Power BI, Excel","Government Scheme Aligned, Rural Outreach",Beginner,16-04-26
INT0454,Intern,Work as a intern at Apollo Hospitals. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,12th Pass,Hyderabad,Hybrid,2 Months,Hindi,4380,Excel,"Government Scheme Aligned, Beginner Friendly",Beginner,17-11-25
INT0455,Intern,"Work as a intern at Zee Media. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,12th Pass,Bangalore,Online,6 Months,Gujarati,7281,Excel,"Government Scheme Aligned, Rural Outreach",Advanced,15-04-26
INT0456,Finance Intern,Work as a finance intern at SBI. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",PG,Mumbai,Offline,4 Months,Hindi,494,"Excel, Tally","Rural Outreach, Remote Friendly",Intermediate,22-12-25
INT0457,Intern,Work as a intern at Flipkart. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,PG,Pune,Online,6 Months,English,2884,Excel,"Rural Outreach, Remote Friendly",Beginner,12-05-26
INT0458,Intern,"Work as a intern at Byju's. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,UG,Chennai,Hybrid,5 Months,English,13936,Excel,"Government Scheme Aligned, Rural Outreach",Advanced,15-04-26
INT0459,Intern,Work as a intern at Larsen & Toubro. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,UG,Shillong,Online,3 Months,Hindi,973,Excel,"Government Scheme Aligned, Remote Friendly",Advanced,07-01-26
INT0460,Data Analyst Intern,Work as a data analyst intern at Wipro. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"Python, Pandas, Excel",PG,Delhi,Offline,2 Months,Hindi,3597,"Jupyter Notebook, Excel","Government Scheme Aligned, Paid Internship",Intermediate,14-05-26
INT0461,Intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,PG,Raipur,Online,4 Months,Hindi,10198,Excel,"Government Scheme Aligned, Remote Friendly",Beginner,07-11-25
INT0462,Intern,Work as a intern at Ministry of Tourism. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,MS Office,Diploma,Jaisalmer,Online,1 Months,English,10731,Excel,"Remote Friendly, Rural Outreach",Beginner,12-12-25
INT0463,Energy Analyst Intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",12th Pass,Shillong,Hybrid,3 Months,Gujarati,10955,"Power BI, Excel","Remote Friendly, Paid Internship",Intermediate,17-04-26
INT0464,Intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,PG,Jaisalmer,Offline,1 Months,Hindi,1105,Excel,"Rural Outreach, Beginner Friendly",Intermediate,26-06-26
INT0465,Intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,Diploma,Patna,Hybrid,4 Months,Hindi,9435,Excel,"Government Scheme Aligned, Rural Outreach",Advanced,05-02-26
INT0466,Energy Analyst Intern,"Work as a energy analyst intern at Tata Power. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",UG,Pune,Offline,6 Months,Marathi,1547,"Power BI, Excel","Government Scheme Aligned, Paid Internship",Beginner,12-11-25
INT0467,Intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,UG,Raipur,Hybrid,5 Months,English,14083,Excel,"Remote Friendly, Beginner Friendly",Intermediate,30-12-25
INT0468,Finance Intern,Work as a finance intern at HDFC Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",Diploma,Delhi,Online,5 Months,Marathi,9961,"Excel, Tally","Rural Outreach, Government Scheme Aligned",Intermediate,12-03-26
INT0469,Intern,Work as a intern at IRCTC. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,MS Office,PG,Jaisalmer,Hybrid,6 Months,English,4606,Excel,"Paid Internship, Rural Outreach",Intermediate,24-11-25
INT0470,Intern,Work as a intern at Fortis. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,12th Pass,Mumbai,Offline,3 Months,English,12092,Excel,"Beginner Friendly, Paid Internship",Beginner,14-11-25
INT0471,Energy Analyst Intern,"Work as a energy analyst intern at Indian Oil. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",PG,Bangalore,Online,6 Months,English,14751,"Power BI, Excel","Beginner Friendly, Rural Outreach",Intermediate,21-12-25
INT0472,Intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,MS Office,12th Pass,Bangalore,Hybrid,1 Months,English,10804,Excel,"Rural Outreach, Remote Friendly",Beginner,22-10-25
INT0473,Finance Intern,Work as a finance intern at SBI. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",12th Pass,Jaisalmer,Online,3 Months,Hindi,14422,"Excel, Tally","Beginner Friendly, Paid Internship",Beginner,04-03-26
INT0474,Intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,UG,Imphal,Hybrid,2 Months,Hindi,10417,Excel,"Paid Internship, Remote Friendly",Intermediate,12-07-26
INT0475,Frontend Developer Intern,Work as a frontend developer intern at Infosys. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"React, HTML, CSS, JavaScript",12th Pass,Shillong,Hybrid,6 Months,English,12506,"VS Code, Git","Rural Outreach, Government Scheme Aligned",Advanced,23-10-25
INT0476,Intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Delhi,Hybrid,4 Months,Hindi,13137,Excel,"Paid Internship, Beginner Friendly",Intermediate,11-03-26
INT0477,Intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,Diploma,Raipur,Online,6 Months,Hindi,3251,Excel,"Paid Internship, Remote Friendly",Beginner,08-06-26
INT0478,Intern,Work as a intern at Amul. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,12th Pass,Mumbai,Offline,4 Months,Hindi,6733,Excel,"Paid Internship, Government Scheme Aligned",Advanced,12-02-26
INT0479,Intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,Diploma,Hyderabad,Online,4 Months,Marathi,4226,Excel,"Paid Internship, Rural Outreach",Advanced,24-11-25
INT0480,Finance Intern,Work as a finance intern at Axis Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",Diploma,Chennai,Online,3 Months,Hindi,4925,"Excel, Tally","Beginner Friendly, Remote Friendly",Beginner,15-11-25
INT0481,Intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,12th Pass,Patna,Online,2 Months,Hindi,14239,Excel,"Beginner Friendly, Rural Outreach",Advanced,12-07-26
INT0482,Intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,PG,Bangalore,Offline,1 Months,English,9857,Excel,"Beginner Friendly, Remote Friendly",Beginner,15-12-25
INT0483,Intern,"Work as a intern at Zee Media. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,MS Office,PG,Chennai,Online,1 Months,English,6848,Excel,"Remote Friendly, Beginner Friendly",Intermediate,07-07-26
INT0484,Energy Analyst Intern,"Work as a energy analyst intern at ONGC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"Excel, Data Analysis, Power BI",PG,Shillong,Online,3 Months,Hindi,2361,"Power BI, Excel","Beginner Friendly, Government Scheme Aligned",Intermediate,28-03-26
INT0485,Intern,Work as a intern at Reliance Jio. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,MS Office,UG,Jaisalmer,Online,2 Months,Hindi,268,Excel,"Rural Outreach, Government Scheme Aligned",Intermediate,13-12-25
INT0486,Intern,Work as a intern at IFFCO. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,MS Office,Diploma,Mumbai,Online,2 Months,Hindi,556,Excel,"Government Scheme Aligned, Remote Friendly",Advanced,30-11-25
INT0487,Finance Intern,Work as a finance intern at HDFC Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"Financial Modeling, Excel, Tally",12th Pass,Pune,Online,5 Months,English,9646,"Excel, Tally","Rural Outreach, Remote Friendly",Intermediate,01-01-26
INT0488,Intern,Work as a intern at Apollo Hospitals. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,PG,Mumbai,Online,5 Months,English,826,Excel,"Paid Internship, Government Scheme Aligned",Beginner,13-04-26
INT0489,Intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,MS Office,PG,Aizawl,Offline,2 Months,Hindi,1454,Excel,"Paid Internship, Beginner Friendly",Beginner,30-05-26
INT0490,Frontend Developer Intern,Work as a frontend developer intern at Infosys. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"React, HTML, CSS, JavaScript",PG,Bangalore,Online,1 Months,Hindi,483,"VS Code, Git","Rural Outreach, Beginner Friendly",Advanced,26-11-25
INT0491,Intern,Work as a intern at Apollo Hospitals. Gain hands-on experience in healthcare tasks.,Healthcare,General,MS Office,12th Pass,Jaisalmer,Offline,4 Months,English,3718,Excel,"Paid Internship, Remote Friendly",Advanced,26-01-26
