InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply,City,State
INT0385,e-commerce operations intern,You will get support from a mentor and clear daily tasks to follow. This E-commerce Operations Intern at Reliance Jio provides hands-on learning and mentorship. Field visits or remote tasks may be included depending on the project.,Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",Ug,Offline,6 Months,"English, Hindi",10000/month,"git, figma, autocad","remote friendly, paid internship",Beginner,24-11-25,Raipur,unknown
INT0386,e-commerce operations intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the telecom / retail / misc sector.",Telecom / Retail / Misc,E-commerce,"order management, excel, customer service, shopify/figma basics",Pg,Online,5 Months,"English, Odia",15000/month,"jira, git, matlab","beginner friendly, paid internship",Intermediate,15-02-26,Kalahandi,Odisha
INT0387,network operations intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,Network Ops,"network monitoring, troubleshooting, reports, linux basics",Ug,Online,3 Months,"English, Hindi",10000/month,"matlab, zoom, jupyter","government scheme aligned, remote friendly",Advanced,10-02-26,Chandigarh,unknown
INT0388,network operations intern,Field visits or remote tasks may be included depending on the project. This Network Operations Intern at Flipkart provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,Telecom / Retail / Misc,Network Ops,"network monitoring, troubleshooting, reports, linux basics",12Th Pass,Hybrid,6 Months,English,3000/month,"jupyter, jira, power bi","field work, women preferred",Beginner,08-11-25,Chandigarh,unknown
INT0389,e-commerce operations intern,Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow.,Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",12Th Pass,Offline,6 Months,"English, Tamil",0/month,"vs code, slack, autocad","government scheme aligned, women preferred",Beginner,12-03-26,Sivaganga,Tamil Nadu
INT0390,network operations intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,E-commerce,"network monitoring, troubleshooting, reports, linux basics",12Th Pass,Hybrid,5 Months,"English, Hindi",15000/month,"docker, vs code, zoom","skill development, rural outreach",Beginner,20-02-26,Chandigarh,unknown
INT0391,network operations intern,Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the telecom / retail / misc sector. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,E-commerce,"network monitoring, troubleshooting, reports, linux basics",Ug,Offline,3 Months,"English, Hindi",5000/month,"matlab, figma, autocad","rural outreach, skill development",Intermediate,22-11-25,Ranchi,unknown
INT0392,network operations intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,Network Ops,"network monitoring, troubleshooting, reports, linux basics",Diploma,Offline,4 Months,"English, Tamil",5000/month,"git, vs code, docker","remote friendly, skill development",Beginner,03-02-26,Sivaganga,Tamil Nadu
INT0393,network operations intern,Learn important skills and build a small project while working with the team. Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the telecom / retail / misc sector.,Telecom / Retail / Misc,E-commerce,"network monitoring, troubleshooting, reports, linux basics",Ug,Offline,4 Months,"English, Malayalam",0/month,"vs code, slack, jira","women preferred, skill development",Beginner,18-02-26,Wayanad,Kerala
INT0394,e-commerce operations intern,"Good for first-time interns, this role focuses on simple, guided tasks. Learn important skills and build a small project while working with the team. You will get support from a mentor and clear daily tasks to follow.",Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",Pg,Hybrid,6 Months,"English, Odia",10000/month,"trello, slack, jupyter","government scheme aligned, remote friendly",Intermediate,30-01-26,Nabarangpur,Odisha
INT0395,network operations intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,Telecom / Retail / Misc,Network Ops,"network monitoring, troubleshooting, reports, linux basics",Ug,Online,5 Months,English,0/month,"trello, vs code, figma","paid internship, government scheme aligned",Beginner,15-10-25,Lucknow,unknown
INT0396,e-commerce operations intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",12Th Pass,Online,6 Months,English,5000/month,"matlab, docker, jira","skill development, remote friendly",Beginner,31-12-25,Guwahati,unknown
INT0397,e-commerce operations intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback.,Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",Ug,Online,6 Months,"English, Tamil",8000/month,"git, postman, trello","skill development, paid internship",Intermediate,06-01-26,Sivaganga,Tamil Nadu
INT0398,network operations intern,Entry-level friendly role with practical exposure and regular feedback. This Network Operations Intern at Godrej provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,Telecom / Retail / Misc,E-commerce,"network monitoring, troubleshooting, reports, linux basics",Ug,Online,6 Months,English,3000/month,"trello, jupyter, docker","skill development, remote friendly",Intermediate,25-01-26,Bengaluru,unknown
INT0399,e-commerce operations intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.",Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",12Th Pass,Hybrid,2 Months,"English, Hindi",10000/month,"trello, zoom, vs code","paid internship, skill development",Beginner,19-01-26,Hyderabad,unknown
INT0400,e-commerce operations intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required.",Telecom / Retail / Misc,Network Ops,"order management, excel, customer service, shopify/figma basics",Ug,Hybrid,6 Months,"English, Malayalam",5000/month,"power bi, git, tableau","paid internship, remote friendly",Beginner,12-01-26,Wayanad,Kerala
INT0401,energy analyst intern,"Work as a energy analyst intern at Tata Power. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",12Th Pass,Hybrid,3 Months,Hindi,4230,"power bi, excel","rural outreach, remote friendly",Intermediate,16-05-26,Pune,unknown
INT0402,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Ug,Offline,6 Months,Hindi,9333,excel,"beginner friendly, rural outreach",Intermediate,02-11-25,Pune,unknown
INT0403,intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,12Th Pass,Offline,6 Months,Hindi,313,excel,"remote friendly, government scheme aligned",Beginner,30-11-25,Aizawl,unknown
INT0404,intern,Work as a intern at Reliance Jio. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Diploma,Offline,4 Months,Bengali,9280,excel,"government scheme aligned, rural outreach",Advanced,28-03-26,Mumbai,unknown
INT0405,energy analyst intern,"Work as a energy analyst intern at ONGC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Diploma,Online,4 Months,Hindi,1917,"power bi, excel","paid internship, remote friendly",Intermediate,30-05-26,Delhi,unknown
INT0406,intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Pg,Hybrid,2 Months,English,13466,excel,"government scheme aligned, remote friendly",Advanced,26-04-26,Pune,unknown
INT0407,intern,Work as a intern at IFFCO. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Diploma,Hybrid,3 Months,English,7021,excel,"remote friendly, paid internship",Advanced,29-01-26,Delhi,unknown
INT0408,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Ug,Hybrid,5 Months,English,12839,excel,"remote friendly, paid internship",Advanced,23-02-26,Shillong,unknown
INT0409,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Pg,Online,3 Months,English,9403,excel,"beginner friendly, paid internship",Beginner,27-05-26,Chennai,unknown
INT0410,intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Pg,Hybrid,6 Months,English,12027,excel,"rural outreach, remote friendly",Advanced,13-04-26,Bangalore,unknown
INT0411,intern,Work as a intern at MakeMyTrip. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,ms office,12Th Pass,Offline,5 Months,Hindi,10386,excel,"remote friendly, paid internship",Advanced,05-04-26,Aizawl,unknown
INT0412,intern,Work as a intern at Amul. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Pg,Hybrid,2 Months,Hindi,8479,excel,"beginner friendly, government scheme aligned",Beginner,12-07-26,Pune,unknown
INT0413,intern,Work as a intern at Mahindra & Mahindra. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Diploma,Hybrid,1 Months,Hindi,7390,excel,"government scheme aligned, remote friendly",Beginner,16-04-26,Chennai,unknown
INT0414,energy analyst intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Ug,Hybrid,2 Months,Tamil,1763,"power bi, excel","rural outreach, beginner friendly",Intermediate,05-01-26,Delhi,unknown
INT0415,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Pg,Online,5 Months,Hindi,13650,excel,"paid internship, government scheme aligned",Intermediate,01-03-26,Delhi,unknown
INT0416,intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Diploma,Offline,3 Months,Hindi,11642,excel,"beginner friendly, paid internship",Advanced,15-06-26,Pune,unknown
INT0417,intern,Work as a intern at Larsen & Toubro. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Ug,Online,6 Months,Hindi,7620,excel,"beginner friendly, paid internship",Intermediate,05-05-26,Shillong,unknown
INT0418,intern,"Work as a intern at Zee Media. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Pg,Offline,5 Months,English,9332,excel,"paid internship, remote friendly",Intermediate,18-11-25,Chennai,unknown
INT0419,intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Diploma,Offline,6 Months,Hindi,4982,excel,"beginner friendly, rural outreach",Advanced,06-01-26,Imphal,unknown
INT0420,intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,12Th Pass,Online,2 Months,Hindi,14045,excel,"rural outreach, beginner friendly",Advanced,29-04-26,Hyderabad,unknown
INT0421,intern,Work as a intern at AIIMS. Gain hands-on experience in healthcare tasks.,Healthcare,General,ms office,Diploma,Hybrid,5 Months,Hindi,1346,excel,"beginner friendly, rural outreach",Advanced,24-05-26,Mumbai,unknown
INT0422,intern,Work as a intern at Reliance Jio. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Ug,Hybrid,6 Months,Hindi,4586,excel,"government scheme aligned, rural outreach",Beginner,10-02-26,Chennai,unknown
INT0423,intern,Work as a intern at Ministry of Tourism. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,ms office,12Th Pass,Hybrid,2 Months,Marathi,11268,excel,"beginner friendly, paid internship",Advanced,31-10-25,Aizawl,unknown
INT0424,intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Pg,Online,5 Months,English,8789,excel,"remote friendly, beginner friendly",Intermediate,05-11-25,Chennai,unknown
INT0425,frontend developer intern,Work as a frontend developer intern at TCS. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"react, html, css, javascript",Pg,Online,6 Months,Tamil,10431,"vs code, git","paid internship, government scheme aligned",Advanced,25-04-26,Chennai,unknown
INT0426,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Diploma,Online,3 Months,Hindi,1849,excel,"paid internship, remote friendly",Advanced,29-01-26,Delhi,unknown
INT0427,energy analyst intern,"Work as a energy analyst intern at Indian Oil. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Diploma,Hybrid,1 Months,Hindi,21,"power bi, excel","government scheme aligned, remote friendly",Beginner,02-11-25,Chennai,unknown
INT0428,intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,12Th Pass,Hybrid,3 Months,English,4090,excel,"paid internship, government scheme aligned",Beginner,26-06-26,Hyderabad,unknown
INT0429,intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Ug,Hybrid,6 Months,Hindi,10615,excel,"government scheme aligned, remote friendly",Beginner,26-11-25,Bangalore,unknown
INT0430,frontend developer intern,Work as a frontend developer intern at Infosys. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"react, html, css, javascript",Diploma,Offline,2 Months,Hindi,11421,"vs code, git","rural outreach, government scheme aligned",Advanced,29-05-26,Raipur,unknown
INT0431,intern,Work as a intern at AIIMS. Gain hands-on experience in healthcare tasks.,Healthcare,General,ms office,Ug,Online,5 Months,English,8313,excel,"government scheme aligned, remote friendly",Intermediate,26-06-26,Mumbai,unknown
INT0432,intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Pg,Offline,4 Months,Hindi,9065,excel,"remote friendly, government scheme aligned",Advanced,13-01-26,Pune,unknown
INT0433,intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Diploma,Offline,5 Months,Hindi,9676,excel,"remote friendly, paid internship",Intermediate,17-06-26,Pune,unknown
INT0434,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Ug,Hybrid,4 Months,English,14507,excel,"paid internship, beginner friendly",Advanced,10-06-26,Chennai,unknown
INT0435,intern,Work as a intern at Mahindra & Mahindra. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,12Th Pass,Online,3 Months,Hindi,367,excel,"remote friendly, government scheme aligned",Beginner,24-12-25,Chennai,unknown
INT0436,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Ug,Online,2 Months,Hindi,6227,excel,"paid internship, beginner friendly",Intermediate,16-03-26,Mumbai,unknown
INT0437,intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Pg,Offline,4 Months,Hindi,9785,excel,"remote friendly, rural outreach",Beginner,10-12-25,Chennai,unknown
INT0438,energy analyst intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Ug,Hybrid,2 Months,English,13608,"power bi, excel","rural outreach, remote friendly",Intermediate,28-05-26,Bangalore,unknown
INT0439,intern,Work as a intern at IRCTC. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,ms office,Pg,Offline,5 Months,Hindi,13574,excel,"government scheme aligned, paid internship",Advanced,05-02-26,Delhi,unknown
INT0440,intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Diploma,Online,4 Months,Hindi,6784,excel,"government scheme aligned, rural outreach",Beginner,19-01-26,Pune,unknown
INT0441,energy analyst intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Ug,Offline,2 Months,English,5553,"power bi, excel","remote friendly, rural outreach",Advanced,13-04-26,Jaisalmer,unknown
INT0442,frontend developer intern,Work as a frontend developer intern at Wipro. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"react, html, css, javascript",Ug,Hybrid,4 Months,English,1604,"vs code, git","rural outreach, beginner friendly",Advanced,27-10-25,Bangalore,unknown
INT0443,intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Pg,Offline,1 Months,Hindi,11987,excel,"beginner friendly, government scheme aligned",Beginner,29-03-26,Hyderabad,unknown
INT0444,intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Pg,Offline,2 Months,English,5465,excel,"paid internship, remote friendly",Intermediate,24-03-26,Mumbai,unknown
INT0445,finance intern,Work as a finance intern at Axis Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"financial modeling, excel, tally",Diploma,Offline,2 Months,Hindi,4715,"excel, tally","beginner friendly, government scheme aligned",Beginner,11-04-26,Pune,unknown
INT0446,intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Diploma,Online,1 Months,English,14875,excel,"rural outreach, remote friendly",Intermediate,03-11-25,Imphal,unknown
INT0447,intern,Work as a intern at Fortis. Gain hands-on experience in healthcare tasks.,Healthcare,General,ms office,Ug,Offline,5 Months,Hindi,15,excel,"paid internship, remote friendly",Beginner,20-10-25,Delhi,unknown
INT0448,intern,Work as a intern at Flipkart. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Diploma,Offline,2 Months,Hindi,5557,excel,"beginner friendly, remote friendly",Intermediate,26-03-26,Delhi,unknown
INT0449,intern,Work as a intern at AIIMS. Gain hands-on experience in healthcare tasks.,Healthcare,General,ms office,12Th Pass,Offline,3 Months,English,12640,excel,"remote friendly, rural outreach",Beginner,13-11-25,Mumbai,unknown
INT0450,finance intern,Work as a finance intern at SBI. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"financial modeling, excel, tally",Ug,Hybrid,6 Months,English,8466,"excel, tally","paid internship, remote friendly",Advanced,07-05-26,Pune,unknown
INT0451,intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Ug,Online,3 Months,English,3346,excel,"beginner friendly, paid internship",Intermediate,05-01-26,Raipur,unknown
INT0452,frontend developer intern,Work as a frontend developer intern at Wipro. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"react, html, css, javascript",Diploma,Hybrid,2 Months,English,8295,"vs code, git","rural outreach, paid internship",Advanced,16-04-26,Bangalore,unknown
INT0453,energy analyst intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Ug,Online,4 Months,English,10796,"power bi, excel","government scheme aligned, rural outreach",Beginner,16-04-26,Hyderabad,unknown
INT0454,intern,Work as a intern at Apollo Hospitals. Gain hands-on experience in healthcare tasks.,Healthcare,General,ms office,12Th Pass,Hybrid,2 Months,Hindi,4380,excel,"government scheme aligned, beginner friendly",Beginner,17-11-25,Hyderabad,unknown
INT0455,intern,"Work as a intern at Zee Media. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,12Th Pass,Online,6 Months,Gujarati,7281,excel,"government scheme aligned, rural outreach",Advanced,15-04-26,Bangalore,unknown
INT0456,finance intern,Work as a finance intern at SBI. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"financial modeling, excel, tally",Pg,Offline,4 Months,Hindi,494,"excel, tally","rural outreach, remote friendly",Intermediate,22-12-25,Mumbai,unknown
INT0457,intern,Work as a intern at Flipkart. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Pg,Online,6 Months,English,2884,excel,"rural outreach, remote friendly",Beginner,12-05-26,Pune,unknown
INT0458,intern,"Work as a intern at Byju's. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Ug,Hybrid,5 Months,English,13936,excel,"government scheme aligned, rural outreach",Advanced,15-04-26,Chennai,unknown
INT0459,intern,Work as a intern at Larsen & Toubro. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Ug,Online,3 Months,Hindi,973,excel,"government scheme aligned, remote friendly",Advanced,07-01-26,Shillong,unknown
INT0460,data analyst intern,Work as a data analyst intern at Wipro. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"python, pandas, excel",Pg,Offline,2 Months,Hindi,3597,"jupyter notebook, excel","government scheme aligned, paid internship",Intermediate,14-05-26,Delhi,unknown
INT0461,intern,"Work as a intern at NCERT. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Pg,Online,4 Months,Hindi,10198,excel,"government scheme aligned, remote friendly",Beginner,07-11-25,Raipur,unknown
INT0462,intern,Work as a intern at Ministry of Tourism. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,ms office,Diploma,Online,1 Months,English,10731,excel,"remote friendly, rural outreach",Beginner,12-12-25,Jaisalmer,unknown
INT0463,energy analyst intern,"Work as a energy analyst intern at NTPC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",12Th Pass,Hybrid,3 Months,Gujarati,10955,"power bi, excel","remote friendly, paid internship",Intermediate,17-04-26,Shillong,unknown
INT0464,intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Pg,Offline,1 Months,Hindi,1105,excel,"rural outreach, beginner friendly",Intermediate,26-06-26,Jaisalmer,unknown
INT0465,intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Diploma,Hybrid,4 Months,Hindi,9435,excel,"government scheme aligned, rural outreach",Advanced,05-02-26,Patna,unknown
INT0466,energy analyst intern,"Work as a energy analyst intern at Tata Power. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Ug,Offline,6 Months,Marathi,1547,"power bi, excel","government scheme aligned, paid internship",Beginner,12-11-25,Pune,unknown
INT0467,intern,Work as a intern at JSW Steel. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,Ug,Hybrid,5 Months,English,14083,excel,"remote friendly, beginner friendly",Intermediate,30-12-25,Raipur,unknown
INT0468,finance intern,Work as a finance intern at HDFC Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"financial modeling, excel, tally",Diploma,Online,5 Months,Marathi,9961,"excel, tally","rural outreach, government scheme aligned",Intermediate,12-03-26,Delhi,unknown
INT0469,intern,Work as a intern at IRCTC. Gain hands-on experience in travel & hospitality tasks.,Travel & Hospitality,General,ms office,Pg,Hybrid,6 Months,English,4606,excel,"paid internship, rural outreach",Intermediate,24-11-25,Jaisalmer,unknown
INT0470,intern,Work as a intern at Fortis. Gain hands-on experience in healthcare tasks.,Healthcare,General,ms office,12Th Pass,Offline,3 Months,English,12092,excel,"beginner friendly, paid internship",Beginner,14-11-25,Mumbai,unknown
INT0471,energy analyst intern,"Work as a energy analyst intern at Indian Oil. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Pg,Online,6 Months,English,14751,"power bi, excel","beginner friendly, rural outreach",Intermediate,21-12-25,Bangalore,unknown
INT0472,intern,Work as a intern at SAIL. Gain hands-on experience in manufacturing & industrial / metals & mining tasks.,Manufacturing & Industrial / Metals & Mining,General,ms office,12Th Pass,Hybrid,1 Months,English,10804,excel,"rural outreach, remote friendly",Beginner,22-10-25,Bangalore,unknown
INT0473,finance intern,Work as a finance intern at SBI. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"financial modeling, excel, tally",12Th Pass,Online,3 Months,Hindi,14422,"excel, tally","beginner friendly, paid internship",Beginner,04-03-26,Jaisalmer,unknown
INT0474,intern,Work as a intern at Tata Motors. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Ug,Hybrid,2 Months,Hindi,10417,excel,"paid internship, remote friendly",Intermediate,12-07-26,Imphal,unknown
INT0475,frontend developer intern,Work as a frontend developer intern at Infosys. Gain hands-on experience in it & software / tech tasks.,IT & Software / Tech,General,"react, html, css, javascript",12Th Pass,Hybrid,6 Months,English,12506,"vs code, git","rural outreach, government scheme aligned",Advanced,23-10-25,Shillong,unknown
INT0476,intern,Work as a intern at Maruti Suzuki. Gain hands-on experience in automotive tasks.,Automotive,General,ms office,Pg,Hybrid,4 Months,Hindi,13137,excel,"paid internship, beginner friendly",Intermediate,11-03-26,Delhi,unknown
INT0477,intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Diploma,Online,6 Months,Hindi,3251,excel,"paid internship, remote friendly",Beginner,08-06-26,Raipur,unknown
INT0478,intern,Work as a intern at Amul. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,12Th Pass,Offline,4 Months,Hindi,6733,excel,"paid internship, government scheme aligned",Advanced,12-02-26,Mumbai,unknown
INT0479,intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Diploma,Online,4 Months,Marathi,4226,excel,"paid internship, rural outreach",Advanced,24-11-25,Hyderabad,unknown
INT0480,finance intern,Work as a finance intern at Axis Bank. Gain hands-on experience in banking & financial services tasks.,Banking & Financial Services,General,"financial modeling, excel, tally",Diploma,Online,3 Months,Hindi,4925,"excel, tally","beginner friendly, remote friendly",Beginner,15-11-25,Chennai,unknown
INT0481,intern,Work as a intern at Airtel. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,12Th Pass,Online,2 Months,Hindi,14239,excel,"beginner friendly, rural outreach",Advanced,12-07-26,Patna,unknown
INT0482,intern,Work as a intern at NABARD. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Pg,Offline,1 Months,English,9857,excel,"beginner friendly, remote friendly",Beginner,15-12-25,Bangalore,unknown
INT0483,intern,"Work as a intern at Zee Media. Gain hands-on experience in education, media & entertainment tasks.","Education, Media & Entertainment",General,ms office,Pg,Online,1 Months,English,6848,excel,"remote friendly, beginner friendly",Intermediate,07-07-26,Chennai,unknown
INT0484,energy analyst intern,"Work as a energy analyst intern at ONGC. Gain hands-on experience in oil, gas & energy tasks.","Oil, Gas & Energy",General,"excel, data analysis, power bi",Pg,Online,3 Months,Hindi,2361,"power bi, excel","beginner friendly, government scheme aligned",Intermediate,28-03-26,Shillong,unknown
INT0485,intern,Work as a intern at Reliance Jio. Gain hands-on experience in telecom / retail / consumer durables / misc tasks.,Telecom / Retail / Consumer Durables / Misc,General,ms office,Ug,Online,2 Months,Hindi,268,excel,"rural outreach, government scheme aligned",Intermediate,13-12-25,Jaisalmer,unknown
INT0486,intern,Work as a intern at IFFCO. Gain hands-on experience in agriculture & allied tasks.,Agriculture & Allied,General,ms office,Diploma,Online,2 Months,Hindi,556,excel,"government scheme aligned, remote friendly",Advanced,30-11-25,Mumbai,unknown
